id,text,label,binary_label
209,Stop acting superior just because of your race.,ethnicity,bullying
210,Nobody cares about your opinion.,other_cyberbullying,bullying
211,Nobody cares about your opinion.,other_cyberbullying,bullying
212,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
213,"You speak funny, learn proper English.",ethnicity,bullying
214,People like you ruin this nation.,ethnicity,bullying
215,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
216,We don’t want your religious nonsense.,religion,bullying
217,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
218,"Go play with your toys, child.",age,bullying
219,You’re fat and gross.,appearance,bullying
220,"You’re too old for this app, grandpa.",age,bullying
221,"You’re so ugly, nobody likes you.",appearance,bullying
222,"Men are always stronger, you’re weak.",gender,bullying
223,Stop acting superior just because of your race.,ethnicity,bullying
224,Your faith makes no sense at all.,religion,bullying
225,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
226,Nobody cares about your opinion.,other_cyberbullying,bullying
227,No guy would ever want you.,gender,bullying
228,"You speak funny, learn proper English.",ethnicity,bullying
229,Stop acting superior just because of your race.,ethnicity,bullying
230,You’re fat and gross.,appearance,bullying
231,Stop acting superior just because of your race.,ethnicity,bullying
232,"Go play with your toys, child.",age,bullying
233,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
234,"Stop spreading your beliefs, nobody cares.",religion,bullying
235,"You throw like a girl, pathetic.",gender,bullying
236,"You’re such a loser, go away.",other_cyberbullying,bullying
237,"Go back to your country, you don’t belong here.",ethnicity,bullying
238,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
239,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
240,No one wants your kind here.,ethnicity,bullying
241,People like you ruin this nation.,ethnicity,bullying
242,"You’re ancient, stop embarrassing yourself.",age,bullying
243,"Men are always stronger, you’re weak.",gender,bullying
244,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
245,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
246,"You’re so ugly, nobody likes you.",appearance,bullying
247,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
248,"You speak funny, learn proper English.",ethnicity,bullying
249,"No wonder you’re alone, you’re hideous.",appearance,bullying
250,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
251,"You speak funny, learn proper English.",ethnicity,bullying
252,We don’t want your religious nonsense.,religion,bullying
253,"Go play with your toys, child.",age,bullying
254,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
255,People like you ruin this nation.,ethnicity,bullying
256,You’re fat and gross.,appearance,bullying
257,"Go play with your toys, child.",age,bullying
258,Girls don’t belong in tech.,gender,bullying
259,"You’re such a loser, go away.",other_cyberbullying,bullying
260,Nobody cares about your opinion.,other_cyberbullying,bullying
261,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
262,"Stop spreading your beliefs, nobody cares.",religion,bullying
263,Nobody listens to old people anymore.,age,bullying
264,Nobody listens to old people anymore.,age,bullying
265,People like you should not be allowed here.,religion,bullying
266,"You’re so ugly, nobody likes you.",appearance,bullying
267,"Go back to your country, you don’t belong here.",ethnicity,bullying
268,"Men are always stronger, you’re weak.",gender,bullying
269,"You’re too old for this app, grandpa.",age,bullying
270,"You’re such a loser, go away.",other_cyberbullying,bullying
271,"Go play with your toys, child.",age,bullying
272,You’re fat and gross.,appearance,bullying
273,Nobody cares about your opinion.,other_cyberbullying,bullying
274,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
275,"You’re ancient, stop embarrassing yourself.",age,bullying
276,People like you should not be allowed here.,religion,bullying
277,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
278,Your religion is a joke.,religion,bullying
279,Your religion is a joke.,religion,bullying
280,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
281,"You’re such a loser, go away.",other_cyberbullying,bullying
282,Kids these days are so dumb.,age,bullying
283,"Go play with your toys, child.",age,bullying
284,No guy would ever want you.,gender,bullying
285,Your faith makes no sense at all.,religion,bullying
286,"You’re too old for this app, grandpa.",age,bullying
287,People like you ruin this nation.,ethnicity,bullying
288,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
289,"You’re too old for this app, grandpa.",age,bullying
290,We don’t want your religious nonsense.,religion,bullying
291,Have a great day ahead!,not_cyberbullying,not_cyberbullying
292,Kids these days are so dumb.,age,bullying
293,No guy would ever want you.,gender,bullying
294,"Look at your face, disgusting.",appearance,bullying
295,"No wonder you’re alone, you’re hideous.",appearance,bullying
296,"You’re such a loser, go away.",other_cyberbullying,bullying
297,"Go back to your country, you don’t belong here.",ethnicity,bullying
298,Girls don’t belong in tech.,gender,bullying
299,"You’re such a loser, go away.",other_cyberbullying,bullying
300,"Go back to your country, you don’t belong here.",ethnicity,bullying
301,"Women can’t play this game, go to the kitchen.",gender,bullying
302,"You throw like a girl, pathetic.",gender,bullying
303,"No wonder you’re alone, you’re hideous.",appearance,bullying
304,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
305,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
306,Stop acting superior just because of your race.,ethnicity,bullying
307,Stop acting superior just because of your race.,ethnicity,bullying
308,Kids these days are so dumb.,age,bullying
309,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
310,Girls don’t belong in tech.,gender,bullying
311,"Go back to your country, you don’t belong here.",ethnicity,bullying
312,Have a great day ahead!,not_cyberbullying,not_cyberbullying
313,"Go play with your toys, child.",age,bullying
314,"Women can’t play this game, go to the kitchen.",gender,bullying
315,People like you ruin this nation.,ethnicity,bullying
316,No guy would ever want you.,gender,bullying
317,We don’t want your religious nonsense.,religion,bullying
318,"You’re such a loser, go away.",other_cyberbullying,bullying
319,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
320,"Women can’t play this game, go to the kitchen.",gender,bullying
321,Girls don’t belong in tech.,gender,bullying
322,Stop acting superior just because of your race.,ethnicity,bullying
323,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
324,"Stop spreading your beliefs, nobody cares.",religion,bullying
325,"You’re so ugly, nobody likes you.",appearance,bullying
326,No one wants your kind here.,ethnicity,bullying
327,Your faith makes no sense at all.,religion,bullying
328,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
329,Your religion is a joke.,religion,bullying
330,Girls don’t belong in tech.,gender,bullying
331,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
332,Girls don’t belong in tech.,gender,bullying
333,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
334,People like you ruin this nation.,ethnicity,bullying
335,"You throw like a girl, pathetic.",gender,bullying
336,Stop acting superior just because of your race.,ethnicity,bullying
337,People like you should not be allowed here.,religion,bullying
338,"You’re such a loser, go away.",other_cyberbullying,bullying
339,Your style is trash.,appearance,bullying
340,Nobody cares about your opinion.,other_cyberbullying,bullying
341,"Men are always stronger, you’re weak.",gender,bullying
342,Your style is trash.,appearance,bullying
343,"Go back to your country, you don’t belong here.",ethnicity,bullying
344,"You throw like a girl, pathetic.",gender,bullying
345,People like you should not be allowed here.,religion,bullying
346,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
347,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
348,"You’re so ugly, nobody likes you.",appearance,bullying
349,"You’re ancient, stop embarrassing yourself.",age,bullying
350,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
351,Your style is trash.,appearance,bullying
352,"Look at your face, disgusting.",appearance,bullying
353,People like you should not be allowed here.,religion,bullying
354,Your religion is a joke.,religion,bullying
355,"You’re such a loser, go away.",other_cyberbullying,bullying
356,Your religion is a joke.,religion,bullying
357,"You’re ancient, stop embarrassing yourself.",age,bullying
358,"You throw like a girl, pathetic.",gender,bullying
359,Kids these days are so dumb.,age,bullying
360,Nobody cares about your opinion.,other_cyberbullying,bullying
361,Nobody listens to old people anymore.,age,bullying
362,Nobody cares about your opinion.,other_cyberbullying,bullying
363,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
364,Girls don’t belong in tech.,gender,bullying
365,Have a great day ahead!,not_cyberbullying,not_cyberbullying
366,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
367,Stop acting superior just because of your race.,ethnicity,bullying
368,"You’re too old for this app, grandpa.",age,bullying
369,"You throw like a girl, pathetic.",gender,bullying
370,"Look at your face, disgusting.",appearance,bullying
371,"Men are always stronger, you’re weak.",gender,bullying
372,"You’re such a loser, go away.",other_cyberbullying,bullying
373,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
374,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
375,"You’re so ugly, nobody likes you.",appearance,bullying
376,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
377,"Men are always stronger, you’re weak.",gender,bullying
378,"You’re too old for this app, grandpa.",age,bullying
379,"No wonder you’re alone, you’re hideous.",appearance,bullying
380,"No wonder you’re alone, you’re hideous.",appearance,bullying
381,We don’t want your religious nonsense.,religion,bullying
382,"Look at your face, disgusting.",appearance,bullying
383,Girls don’t belong in tech.,gender,bullying
384,"Women can’t play this game, go to the kitchen.",gender,bullying
385,"Go play with your toys, child.",age,bullying
386,"Look at your face, disgusting.",appearance,bullying
387,Nobody listens to old people anymore.,age,bullying
388,You’re fat and gross.,appearance,bullying
389,"Men are always stronger, you’re weak.",gender,bullying
390,"Go back to your country, you don’t belong here.",ethnicity,bullying
391,"Women can’t play this game, go to the kitchen.",gender,bullying
392,"Go play with your toys, child.",age,bullying
393,"You throw like a girl, pathetic.",gender,bullying
394,"Women can’t play this game, go to the kitchen.",gender,bullying
395,"You speak funny, learn proper English.",ethnicity,bullying
396,We don’t want your religious nonsense.,religion,bullying
397,"You’re such a loser, go away.",other_cyberbullying,bullying
398,Girls don’t belong in tech.,gender,bullying
399,"You throw like a girl, pathetic.",gender,bullying
400,"You’re so ugly, nobody likes you.",appearance,bullying
401,Your faith makes no sense at all.,religion,bullying
402,No one wants your kind here.,ethnicity,bullying
403,"You’re too old for this app, grandpa.",age,bullying
404,Nobody listens to old people anymore.,age,bullying
405,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
406,Have a great day ahead!,not_cyberbullying,not_cyberbullying
407,People like you should not be allowed here.,religion,bullying
408,"You throw like a girl, pathetic.",gender,bullying
409,"You play like trash, no skills at all.",other_cyberbullying,bullying
410,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
411,"Men are always stronger, you’re weak.",gender,bullying
412,"Go play with your toys, child.",age,bullying
413,Girls don’t belong in tech.,gender,bullying
414,"You’re such a loser, go away.",other_cyberbullying,bullying
415,"You speak funny, learn proper English.",ethnicity,bullying
416,Your religion is a joke.,religion,bullying
417,Your religion is a joke.,religion,bullying
418,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
419,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
420,Your religion is a joke.,religion,bullying
421,"Men are always stronger, you’re weak.",gender,bullying
422,Your style is trash.,appearance,bullying
423,Your religion is a joke.,religion,bullying
424,"You speak funny, learn proper English.",ethnicity,bullying
425,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
426,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
427,No guy would ever want you.,gender,bullying
428,"Stop spreading your beliefs, nobody cares.",religion,bullying
429,Your faith makes no sense at all.,religion,bullying
430,Your style is trash.,appearance,bullying
431,"You throw like a girl, pathetic.",gender,bullying
432,"Go play with your toys, child.",age,bullying
433,"You speak funny, learn proper English.",ethnicity,bullying
434,Stop acting superior just because of your race.,ethnicity,bullying
435,Have a great day ahead!,not_cyberbullying,not_cyberbullying
436,"You’re ancient, stop embarrassing yourself.",age,bullying
437,"Men are always stronger, you’re weak.",gender,bullying
438,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
439,Have a great day ahead!,not_cyberbullying,not_cyberbullying
440,"You play like trash, no skills at all.",other_cyberbullying,bullying
441,"Women can’t play this game, go to the kitchen.",gender,bullying
442,People like you should not be allowed here.,religion,bullying
443,Girls don’t belong in tech.,gender,bullying
444,People like you ruin this nation.,ethnicity,bullying
445,"You’re such a loser, go away.",other_cyberbullying,bullying
446,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
447,No guy would ever want you.,gender,bullying
448,"No wonder you’re alone, you’re hideous.",appearance,bullying
449,"You speak funny, learn proper English.",ethnicity,bullying
450,Stop acting superior just because of your race.,ethnicity,bullying
451,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
452,"You play like trash, no skills at all.",other_cyberbullying,bullying
453,"You throw like a girl, pathetic.",gender,bullying
454,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
455,Nobody listens to old people anymore.,age,bullying
456,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
457,"You speak funny, learn proper English.",ethnicity,bullying
458,You’re fat and gross.,appearance,bullying
459,"You’re ancient, stop embarrassing yourself.",age,bullying
460,"You speak funny, learn proper English.",ethnicity,bullying
461,"You speak funny, learn proper English.",ethnicity,bullying
462,"You speak funny, learn proper English.",ethnicity,bullying
463,"You speak funny, learn proper English.",ethnicity,bullying
464,People like you ruin this nation.,ethnicity,bullying
465,We don’t want your religious nonsense.,religion,bullying
466,Girls don’t belong in tech.,gender,bullying
467,"Women can’t play this game, go to the kitchen.",gender,bullying
468,No guy would ever want you.,gender,bullying
469,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
470,"Go play with your toys, child.",age,bullying
471,"You’re so ugly, nobody likes you.",appearance,bullying
472,"Men are always stronger, you’re weak.",gender,bullying
473,"Look at your face, disgusting.",appearance,bullying
474,"Look at your face, disgusting.",appearance,bullying
475,People like you ruin this nation.,ethnicity,bullying
476,Your religion is a joke.,religion,bullying
477,"You’re too old for this app, grandpa.",age,bullying
478,"Stop posting nonsense, nobody likes you.",other_cyberbullying,bullying
479,"Go back to your country, you don’t belong here.",ethnicity,bullying
480,Have a great day ahead!,not_cyberbullying,not_cyberbullying
481,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
482,Nobody cares about your opinion.,other_cyberbullying,bullying
483,"Go back to your country, you don’t belong here.",ethnicity,bullying
484,Girls don’t belong in tech.,gender,bullying
485,"You throw like a girl, pathetic.",gender,bullying
486,No guy would ever want you.,gender,bullying
487,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
488,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
489,People like you should not be allowed here.,religion,bullying
490,Nobody cares about your opinion.,other_cyberbullying,bullying
491,"I love this new song, it's so catchy.",not_cyberbullying,not_cyberbullying
492,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
493,You’re fat and gross.,appearance,bullying
494,"Go back to your country, you don’t belong here.",ethnicity,bullying
495,"You’re ancient, stop embarrassing yourself.",age,bullying
496,You’re the dumbest person I’ve ever met.,other_cyberbullying,bullying
497,"You’re such a loser, go away.",other_cyberbullying,bullying
498,No guy would ever want you.,gender,bullying
499,"You throw like a girl, pathetic.",gender,bullying
500,Your religion is a joke.,religion,bullying
501,Kids these days are so dumb.,age,bullying
502,You’re fat and gross.,appearance,bullying
503,"You play like trash, no skills at all.",other_cyberbullying,bullying
504,People like you ruin this nation.,ethnicity,bullying
505,"Men are always stronger, you’re weak.",gender,bullying
506,Have a great day ahead!,not_cyberbullying,not_cyberbullying
507,Girls don’t belong in tech.,gender,bullying
508,No one wants your kind here.,ethnicity,bullying
509,We don’t want your religious nonsense.,religion,bullying
510,We don’t want your religious nonsense.,religion,bullying
511,"You play like trash, no skills at all.",other_cyberbullying,bullying
512,"Congrats on your promotion, well deserved!",not_cyberbullying,not_cyberbullying
513,Kids these days are so dumb.,age,bullying
514,Your style is trash.,appearance,bullying
515,Have a great day ahead!,not_cyberbullying,not_cyberbullying
516,Have a great day ahead!,not_cyberbullying,not_cyberbullying
517,Girls don’t belong in tech.,gender,bullying
518,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
519,Have a great day ahead!,not_cyberbullying,not_cyberbullying
520,No one wants your kind here.,ethnicity,bullying
521,"Stop spreading your beliefs, nobody cares.",religion,bullying
522,"That movie was amazing, I highly recommend it.",not_cyberbullying,not_cyberbullying
523,"You’re such a loser, go away.",other_cyberbullying,bullying
524,Good morning everyone! Stay positive today 😊,not_cyberbullying,not_cyberbullying
525,No guy would ever want you.,gender,bullying
526,"Go play with your toys, child.",age,bullying
527,"You’re ancient, stop embarrassing yourself.",age,bullying
528,Your style is trash.,appearance,bullying
529,Stop acting superior just because of your race.,ethnicity,bullying
530,"You’re ancient, stop embarrassing yourself.",age,bullying
531,Your religion is a joke.,religion,bullying
532,"You speak funny, learn proper English.",ethnicity,bullying
